round,metric,value
1,model_dimension,6794
1,model_name,tiny_cnn
1,effective_clients,5
1,dropout_clients,0
1,pedersen_commitments,7
1,paillier_encryptions,33970
1,paillier_ciphertexts_aggregated,33970
1,compensation_encryptions,0
1,compensation_identity_optimized,1
2,model_dimension,6794
2,model_name,tiny_cnn
2,effective_clients,5
2,dropout_clients,0
2,pedersen_commitments,7
2,paillier_encryptions,33970
2,paillier_ciphertexts_aggregated,33970
2,compensation_encryptions,0
2,compensation_identity_optimized,1
3,model_dimension,6794
3,model_name,tiny_cnn
3,effective_clients,4
3,dropout_clients,1
3,pedersen_commitments,7
3,paillier_encryptions,33970
3,paillier_ciphertexts_aggregated,27176
3,compensation_encryptions,6794
3,compensation_identity_optimized,0
4,model_dimension,6794
4,model_name,tiny_cnn
4,effective_clients,5
4,dropout_clients,0
4,pedersen_commitments,7
4,paillier_encryptions,33970
4,paillier_ciphertexts_aggregated,33970
4,compensation_encryptions,0
4,compensation_identity_optimized,1
5,model_dimension,6794
5,model_name,tiny_cnn
5,effective_clients,5
5,dropout_clients,0
5,pedersen_commitments,7
5,paillier_encryptions,33970
5,paillier_ciphertexts_aggregated,33970
5,compensation_encryptions,0
5,compensation_identity_optimized,1
6,model_dimension,6794
6,model_name,tiny_cnn
6,effective_clients,5
6,dropout_clients,0
6,pedersen_commitments,7
6,paillier_encryptions,33970
6,paillier_ciphertexts_aggregated,33970
6,compensation_encryptions,0
6,compensation_identity_optimized,1
7,model_dimension,6794
7,model_name,tiny_cnn
7,effective_clients,5
7,dropout_clients,0
7,pedersen_commitments,7
7,paillier_encryptions,33970
7,paillier_ciphertexts_aggregated,33970
7,compensation_encryptions,0
7,compensation_identity_optimized,1
8,model_dimension,6794
8,model_name,tiny_cnn
8,effective_clients,5
8,dropout_clients,0
8,pedersen_commitments,7
8,paillier_encryptions,33970
8,paillier_ciphertexts_aggregated,33970
8,compensation_encryptions,0
8,compensation_identity_optimized,1
9,model_dimension,6794
9,model_name,tiny_cnn
9,effective_clients,5
9,dropout_clients,0
9,pedersen_commitments,7
9,paillier_encryptions,33970
9,paillier_ciphertexts_aggregated,33970
9,compensation_encryptions,0
9,compensation_identity_optimized,1
10,model_dimension,6794
10,model_name,tiny_cnn
10,effective_clients,5
10,dropout_clients,0
10,pedersen_commitments,7
10,paillier_encryptions,33970
10,paillier_ciphertexts_aggregated,33970
10,compensation_encryptions,0
10,compensation_identity_optimized,1
